,carat,cut,color,clarity,depth,table,price,x,y,z
0,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
1,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31
2,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63
3,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75
4,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
5,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
6,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39
7,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73
8,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46
9,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
10,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
11,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
12,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71
13,0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66
14,0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48
15,0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62
16,0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59
17,0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41
18,0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47
19,0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4
20,0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42
21,0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41
22,0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42
23,0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42
24,0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4
25,0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44
26,0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75
27,0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52
28,0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78
29,0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76
30,0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75
31,0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71
32,0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79
33,0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54
34,0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64
35,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44
36,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31
37,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63
38,0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67
39,0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7
40,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66
41,0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69
42,0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68
43,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96
44,0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73
45,0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68
46,0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45
47,0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7
48,0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68
49,0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67
50,0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49
51,0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53
52,0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55
53,0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53
54,0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54
55,0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87
56,0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44
57,0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46
58,0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73
59,0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57
60,0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52
61,0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56
62,0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72
63,0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07
64,0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56
65,0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58
66,0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59
